SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001,asin,item-name,price,estimated-referral-fee-per-item
THR-TRASH-CAN_4_beige_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-beige-rectangular-step-on-trash-can/475TCSTR4BG.html,https://www.therestaurantstore.com/items/574121,No,,0,0,0,0,B0BXJZWNMQ,"Krollen Industrial 16 Qt. / 4 Gallon Beige Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_black_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-black-rectangular-step-on-trash-can/475TCSTR4BK.html,https://www.therestaurantstore.com/items/574029,No,,0,0,0,0,B0BXJYVDXX,"Krollen Industrial 16 Qt. / 4 Gallon Black Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_blue_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-blue-rectangular-step-on-trash-can/475TCSTR4BL.html,https://www.therestaurantstore.com/items/574108,No,,0,0,0,0,B0BXJWX344,"Krollen Industrial 16 Qt. / 4 Gallon Blue Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_gray_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-gray-rectangular-step-on-trash-can/475TCSTR4GY.html,https://www.therestaurantstore.com/items/574060,No,,0,0,0,0,B0BXJZBD2B,"Krollen Industrial 16 Qt. / 4 Gallon Gray Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_green_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-green-rectangular-step-on-trash-can/475TCSTR4GN.html,https://www.therestaurantstore.com/items/574038,No,,0,0,0,0,B0BXJXW76X,"Krollen Industrial 16 Qt. / 4 Gallon Green Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_red_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-red-rectangular-step-on-trash-can/475TCSTR4RD.html,https://www.therestaurantstore.com/items/574089,No,,0,0,0,0,B0BXJY2DCQ,"Krollen Industrial 16 Qt. / 4 Gallon Red Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_white_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-white-rectangular-step-on-trash-can/475TCSTR4WH.html,https://www.therestaurantstore.com/items/574110,No,,0,0,0,0,B0BXJYT9P5,"Krollen Industrial 16 Qt. / 4 Gallon White Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_4_yellow_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-16-qt-4-gallon-yellow-rectangular-step-on-trash-can/475TCSTR4YL.html,https://www.therestaurantstore.com/items/574054,No,,0,0,0,0,B0BXJZ66BK,"Krollen Industrial 16 Qt. / 4 Gallon Yellow Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",69.99,10.5
THR-TRASH-CAN_50_black_step_on_B,https://www.webstaurantstore.com/lavex-50-gallon-black-wheeled-trash-can-with-step-on-attachment/475TCW50BKKT.html,https://www.therestaurantstore.com/items/593524,No,,0,0,0,0,B0BXJYXPGS,"Krollen Industrial 50 Gallon Black Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
THR-TRASH-CAN_50_blue_r_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-50-gallon-blue-wheeled-rectangular-recycle-bin-with-lid-and-step-on-attachment/475TCW50BRKT.html,https://www.therestaurantstore.com/items/593516,No,,0,0,0,0,B0BXJZP9MS,"Krollen Industrial 50 Gallon Blue Recycle Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
