ASIN,SKU,Name,ThrLink,WSlink,PricingStrategy,BasicHndlingTime,Price,DeliveryPriceTHR10001,DeliveryPriceWS10001,DeliveryPriceTHR90001,DeliveryPriceWS90001,ThresholdForMedianHTCalculation,OrdersCount,UnitsSoldCount,ReturnsCount,AZCount,ItemNumber,StockAviability,FreeShippingWithPlus,estimated_referral_fee
B0B4WJ5PRL,THR-TRASH-CAN_32_orange,Krollen Industrial 32 Gallon Orange Round Commercial Trash Can,https://www.therestaurantstore.com/items/452234,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-orange-round-commercial-trash-can/475TCRND32OR.html,,3,,,,,,10,,,,,,,,
B0B4WG7PPH,THR-TRASH-CAN_32_orange_lid,Krollen Industrial 32 Gallon Orange Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453045,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-orange-round-commercial-trash-can-and-lid/475TCL32ORKT.html,,3,,,,,,10,,,,,,,,
B0B4WJTPGP,THR-TRASH-CAN_32_orange_lid_dolly,Krollen Industrial 32 Gallon Orange Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452712,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-orange-round-commercial-trash-can-with-lid-and-dolly/475TC32ORKIT.html,,3,,,,,,10,,,,,,,,
B0B4WHD7NR,THR-TRASH-CAN_32_purple,Krollen Industrial 32 Gallon Purple Round Commercial Trash Can,https://www.therestaurantstore.com/items/452233,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-purple-round-commercial-trash-can/475TCRND32PL.html,,3,,,,,,10,,,,,,,,
B0B4WH52VP,THR-TRASH-CAN_32_purple_lid,Krollen Industrial 32 Gallon Purple Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453008,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-purple-round-commercial-trash-can-and-lid/475TCL32PLKT.html,,3,,,,,,10,,,,,,,,
B0B4WHG1DN,THR-TRASH-CAN_32_purple_lid_dolly,Krollen Industrial 32 Gallon Purple Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452819,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-purple-round-commercial-trash-can-with-lid-and-dolly/475TC32PLKIT.html,,3,,,,,,10,,,,,,,,
B0B4WHHHYT,THR-TRASH-CAN_32_red,Krollen Industrial 32 Gallon Red Round Commercial Trash Can,https://www.therestaurantstore.com/items/452277,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-red-round-commercial-trash-can/475TCRND32RD.html,,3,,,,,,10,,,,,,,,
B0B4WKCR8W,THR-TRASH-CAN_32_red_lid,Krollen Industrial 32 Gallon Red Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453062,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-red-round-commercial-trash-can-and-lid/475TCL32RDKT.html,,3,,,,,,10,,,,,,,,
B0B4WHTXPC,THR-TRASH-CAN_32_red_lid_dolly,Krollen Industrial 32 Gallon Red Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452618,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-red-round-commercial-trash-can-with-lid-and-dolly/475TC32RDKIT.html,,3,,,,,,10,,,,,,,,
B0B4WGSQ4W,THR-TRASH-CAN_32_white,Krollen Industrial 32 Gallon White Round Commercial Trash Can,https://www.therestaurantstore.com/items/451876,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-white-round-ingredient-bin-commercial-trash-can/475TCRND32WH.html,,3,,,,,,10,,,,,,,,
