SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001
THR-CAGE-CP-0004_chrome_x4,https://www.webstaurantstore.com/regency-24-x-72-nsf-chrome-wire-shelf/460EC2472.html,https://www.therestaurantstore.com/items/40012,Yes,4,0,0,0,0
THR-CAGE-CP-0004_green,https://www.webstaurantstore.com/regency-24-x-72-nsf-green-epoxy-wire-shelf/460EG2472.html,https://www.therestaurantstore.com/items/37443,No,,0,0,0,0
THR-CAGE-CP-0004_green_x2,https://www.webstaurantstore.com/regency-24-x-72-nsf-green-epoxy-wire-shelf/460EG2472.html,https://www.therestaurantstore.com/items/37443,Yes,2,0,0,0,0
THR-CAGE-CP-0004_green_x4,https://www.webstaurantstore.com/regency-24-x-72-nsf-green-epoxy-wire-shelf/460EG2472.html,https://www.therestaurantstore.com/items/37443,Yes,4,0,0,0,0
THR-CAGE-CP-0005_chrome,https://www.webstaurantstore.com/regency-18-x-24-nsf-chrome-wire-shelf/460EC1824.html,https://www.therestaurantstore.com/items/52175,No,,0,0,0,0
THR-CAGE-CP-0005_chrome_x2,https://www.webstaurantstore.com/regency-18-x-24-nsf-chrome-wire-shelf/460EC1824.html,https://www.therestaurantstore.com/items/52175,Yes,2,0,0,0,0
THR-CAGE-CP-0005_chrome_x4,https://www.webstaurantstore.com/regency-18-x-24-nsf-chrome-wire-shelf/460EC1824.html,https://www.therestaurantstore.com/items/52175,Yes,4,0,0,0,0
THR-CAGE-CP-0005_green,https://www.webstaurantstore.com/regency-18-x-24-nsf-green-epoxy-wire-shelf/460EG1824.html,https://www.therestaurantstore.com/items/51586,No,,0,0,0,0
THR-CAGE-CP-0005_green_x2,https://www.webstaurantstore.com/regency-18-x-24-nsf-green-epoxy-wire-shelf/460EG1824.html,https://www.therestaurantstore.com/items/51586,Yes,2,0,0,0,0
THR-CAGE-CP-0005_green_x4,https://www.webstaurantstore.com/regency-18-x-24-nsf-green-epoxy-wire-shelf/460EG1824.html,https://www.therestaurantstore.com/items/51586,Yes,4,0,0,0,0
THR-CAGE-CP-0006_chrome,https://www.webstaurantstore.com/regency-18-x-30-nsf-chrome-wire-shelf/460EC1830.html,https://www.therestaurantstore.com/items/11209,No,,0,0,0,0
THR-CAGE-CP-0006_chrome_x2,https://www.webstaurantstore.com/regency-18-x-30-nsf-chrome-wire-shelf/460EC1830.html,https://www.therestaurantstore.com/items/11209,Yes,2,0,0,0,0
THR-CAGE-CP-0006_chrome_x4,https://www.webstaurantstore.com/regency-18-x-30-nsf-chrome-wire-shelf/460EC1830.html,https://www.therestaurantstore.com/items/11209,Yes,4,0,0,0,0
THR-CAGE-CP-0006_green,https://www.webstaurantstore.com/regency-18-x-30-nsf-green-epoxy-wire-shelf/460EG1830.html,https://www.therestaurantstore.com/items/36854,No,,0,0,0,0
THR-CAGE-CP-0006_green_x2,https://www.webstaurantstore.com/regency-18-x-30-nsf-green-epoxy-wire-shelf/460EG1830.html,https://www.therestaurantstore.com/items/36854,Yes,2,0,0,0,0
THR-CAGE-CP-0006_green_x4,https://www.webstaurantstore.com/regency-18-x-30-nsf-green-epoxy-wire-shelf/460EG1830.html,https://www.therestaurantstore.com/items/36854,Yes,4,0,0,0,0
